,ISO3,Code,Region,Year,Area Lit,Electricity Consumption,CO2 Emissions,GDP,Population,N2O Emissions,CH4 Emissions,Fluoride Emissions,Poverty Headcount Ratio,CountryCode,LongName,Continent,IncomeGroup
0,ATG,ATG,Antigua and Barbuda,2013,4.437774002588552,-1.2057744262725643,13.169973798331233,0.1828110357450168,11.407398268755303,,,,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
1,ATG,ATG,Antigua and Barbuda,2012,4.508274167750183,-1.227753333,13.169973798331233,0.186241457,11.39716663,,,2.283402274,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
2,ATG,ATG,Antigua and Barbuda,2011,4.654189052723336,-1.243753674,13.14877159,0.122145392,11.38681788,,,2.283402274,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
3,ATG,ATG,Antigua and Barbuda,2010,4.7113731126087695,-1.25674087,13.1699738,0.127107461,11.37633798,,,2.283402274,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
4,ATG,ATG,Antigua and Barbuda,2009,4.279857985947524,-1.250226189,13.1416031,0.187649314,11.36558488,,,2.209372711,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
5,ATG,ATG,Antigua and Barbuda,2008,4.204702904086213,-1.378207151,13.08232649,0.29813959,11.35451573,,,2.129421474,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
6,ATG,ATG,Antigua and Barbuda,2007,4.1831921239200875,-1.40817194,13.05915943,0.254063997,11.34328713,,,2.038619547,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
7,ATG,ATG,Antigua and Barbuda,2006,3.9609284924119326,-1.487264528,12.96071936,0.126759139,11.33220662,,,1.93874166,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
8,ATG,ATG,Antigua and Barbuda,2005,3.7332306134247037,-1.550980343,12.92562804,-0.00262936,11.32134114,,,1.842135677,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
9,ATG,ATG,Antigua and Barbuda,2004,4.0223754707029675,-1.642787892,12.91665937,-0.107188705,11.31102957,,,1.682688374,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
10,ATG,ATG,Antigua and Barbuda,2003,3.919361135684357,-1.692058941,12.87056826,-0.174357726,11.30101855,,,1.495148766,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
11,ATG,ATG,Antigua and Barbuda,2002,4.2117849806270815,-1.787369121,12.80224902,-0.21998689,11.29015684,,,1.32972401,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
12,ATG,ATG,Antigua and Barbuda,2001,4.10405402996323,-1.898921607,12.75042395,-0.256486847,11.27684864,,,1.17557333,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
13,ATG,ATG,Antigua and Barbuda,2000,4.072175640912344,-2.031566081,12.75042395,-0.243553119,11.25994107,,,1.01523068,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
14,ATG,ATG,Antigua and Barbuda,1999,3.656499444064031,-2.42644908,12.76100606,-0.427937982,11.23902795,,,0.765467842,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
15,ATG,ATG,Antigua and Barbuda,1998,3.6126007277575023,-2.42644908,12.71798867,-0.477976083,11.21460029,,,0.438254931,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
16,ATG,ATG,Antigua and Barbuda,1997,3.704447860510839,-2.447726479,12.72891775,-0.544982654,11.18763844,,,0.09531018,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
17,ATG,ATG,Antigua and Barbuda,1996,3.825461598664001,-2.458537395,12.68446598,-0.614199107,11.15974441,,,-0.2269006,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
18,ATG,ATG,Antigua and Barbuda,1995,3.75014093081583,-2.458537395,12.68446598,-0.704844981,11.13238221,,,-0.827822084,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
19,ATG,ATG,Antigua and Barbuda,1994,3.825451831875674,-2.469466465,12.64978042,-0.692969436,11.10570882,,,-1.500583508,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
20,ATG,ATG,Antigua and Barbuda,1993,3.3667876653323394,-2.491689602,12.62596978,-0.784085467,11.08010971,,,-2.410170304,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
21,ATG,ATG,Antigua and Barbuda,1992,2.796867992937503,-2.491689602,12.57657702,-0.858581047,11.05775527,,,-3.86800612,,ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
22,DZA,DZA,Algeria,2013,9.614446140579012,3.8111280598098456,18.714960009491904,5.347980532997699,17.45798304957638,,,,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
23,DZA,DZA,Algeria,2012,9.548750483169256,3.758125627,18.68295128095065,5.319741316,17.4382349,,,6.915794875,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
24,DZA,DZA,Algeria,2011,9.423883274139682,3.641132496,18.61752468,5.293660865,17.41875402,,,6.915794875,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
25,DZA,DZA,Algeria,2010,9.541876023464841,3.521643535,18.59695496,5.082691145,17.40003341,8.741440134,10.77188552,6.915794875,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
26,DZA,DZA,Algeria,2009,8.997858567564483,3.3433917,18.61438752,4.921525684,17.38227294,,,7.249801239,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
27,DZA,DZA,Algeria,2008,8.999595879733317,3.417720782,18.53021482,5.141664507,17.36544568,8.645973315,10.74351908,6.954027991,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
28,DZA,DZA,Algeria,2007,8.996416126917337,3.344090731,18.50956061,4.905110824,17.34954658,,,8.045197179,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
29,DZA,DZA,Algeria,2006,8.850936161900757,3.292517288,18.4298338,4.762401732,17.33447106,,,7.154730194,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
30,DZA,DZA,Algeria,2005,8.553827070374176,3.314782191,18.48953249,4.636655774,17.32010314,8.500453867,10.72792612,7.065477573,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
31,DZA,DZA,Algeria,2004,8.724779206749744,3.195609654,18.30967248,4.446467464,17.30646409,,,6.842657668,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
32,DZA,DZA,Algeria,2003,8.488760365852931,3.161739811,18.34307674,4.217503237,17.29351113,,,6.751122521,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
33,DZA,DZA,Algeria,2002,8.798824148029343,3.073782536,18.32475989,4.038836943,17.28094601,,,6.394737254,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
34,DZA,DZA,Algeria,2001,8.730525478860093,3.027601027,18.24981329,4.002680866,17.2683613,,,6.738057703,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
35,DZA,DZA,Algeria,2000,8.835240664218489,2.981406143,18.29206289,4.003508772,17.25540473,8.41340921,10.68731147,7.243234165,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
36,DZA,DZA,Algeria,1999,8.465588883896089,2.917338206,18.3385886,3.884458851,17.24193865,,,6.846074537,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
37,DZA,DZA,Algeria,1998,8.529582825377139,2.827609436,18.4890874,3.875105465,17.22787469,,,6.677473813,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
38,DZA,DZA,Algeria,1997,8.505237118462933,2.732092196,18.29506102,3.874899619,17.21295815,,,5.23962837,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
39,DZA,DZA,Algeria,1996,8.868577516188088,2.719451624,18.39157625,3.848902067,17.19690784,,,5.062595033,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
40,DZA,DZA,Algeria,1995,8.875545916102126,2.672353936,18.37301945,3.732036018,17.17950093,,,4.761318868,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
41,DZA,DZA,Algeria,1994,8.80115933427664,2.664794692,18.27566495,3.750505306,17.16056131,,,4.957445466,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
42,DZA,DZA,Algeria,1993,8.722007357427103,2.641839171,18.22581865,3.910951565,17.14004203,,,5.144291679,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
43,DZA,DZA,Algeria,1992,8.867338966248914,2.64155421,18.22144228,3.871269701,17.11802585,,,5.331162027,,DZA,People's Democratic Republic of Algeria,Middle East & North Africa,Upper middle income
44,AZE,AZE,Azerbaijan,2013,7.591931155662838,2.9115492566167958,17.38907006552581,4.29810798461056,16.05800599227359,,,,,AZE,Republic of Azerbaijan,Europe & Central Asia,Upper middle income
45,AZE,AZE,Azerbaijan,2012,7.481921313269757,2.878805122,17.38659787638042,4.230198972,16.04507152,,,7.040405033,6.0,AZE,Republic of Azerbaijan,Europe & Central Asia,Upper middle income
46,AZE,AZE,Azerbaijan,2011,7.041256991933796,2.678278043,17.32579275,4.188921552,16.03178388,,,7.040405033,7.6,AZE,Republic of Azerbaijan,Europe & Central Asia,Upper middle income
